OLD_PATH,OLD_TYPE,OLD_FUNCTION,DOMAIN,USER_PROBLEM,DECISION_OR_TASK,KEY_KNOWLEDGE,FORMULAS_OR_LOGIC,TOOLS,EXAMPLES,RISKS,CURRENT_EQUIVALENT,INITIAL_COVERAGE_0_TO_5,DISPOSITION,TARGET_PATH,FINAL_COVERAGE_0_TO_5,VALIDATION
agents/openai.yaml,schema_or_config,openai,software-engineering,bundle-infrastructure,see module,see baseline,see baseline scripts/modules,,,,,2,REAUTHORED,agents/openai.yaml,4,adapter
modules/clean-architecture/agents/openai.yaml,schema_or_config,clean-architecture,software-engineering,clean-architecture,see module,see baseline,see baseline scripts/modules,,,,,2,REAUTHORED,references/hubs/software-architecture-and-system-design.md,4,function extracted; literature prose not copied
modules/clean-architecture/MODULE.md,markdown,clean-architecture,software-engineering,clean-architecture,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,REAUTHORED,references/hubs/software-architecture-and-system-design.md,4,function extracted; literature prose not copied
modules/clean-architecture/references/adapters-frameworks.md,markdown,clean-architecture,software-engineering,clean-architecture,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,REAUTHORED,references/hubs/software-architecture-and-system-design.md,4,function extracted; literature prose not copied
modules/clean-architecture/references/boundaries.md,markdown,clean-architecture,software-engineering,clean-architecture,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,REAUTHORED,references/hubs/software-architecture-and-system-design.md,4,function extracted; literature prose not copied
modules/clean-architecture/references/component-principles.md,markdown,clean-architecture,software-engineering,clean-architecture,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,REAUTHORED,references/hubs/software-architecture-and-system-design.md,4,function extracted; literature prose not copied
modules/clean-architecture/references/dependency-rule.md,markdown,clean-architecture,software-engineering,clean-architecture,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,REAUTHORED,references/hubs/software-architecture-and-system-design.md,4,function extracted; literature prose not copied
modules/clean-architecture/references/entities-use-cases.md,markdown,clean-architecture,software-engineering,clean-architecture,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,REAUTHORED,references/hubs/software-architecture-and-system-design.md,4,function extracted; literature prose not copied
modules/clean-architecture/references/solid-principles.md,markdown,clean-architecture,software-engineering,clean-architecture,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,REAUTHORED,references/hubs/software-architecture-and-system-design.md,4,function extracted; literature prose not copied
modules/clean-code/agents/openai.yaml,schema_or_config,clean-code,software-engineering,clean-code,see module,see baseline,see baseline scripts/modules,,,,,2,REAUTHORED,references/hubs/code-quality-refactoring-and-maintainability.md,4,function extracted; literature prose not copied
modules/clean-code/MODULE.md,markdown,clean-code,software-engineering,clean-code,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,REAUTHORED,references/hubs/code-quality-refactoring-and-maintainability.md,4,function extracted; literature prose not copied
modules/clean-code/references/code-smells.md,markdown,clean-code,software-engineering,clean-code,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,REAUTHORED,references/hubs/code-quality-refactoring-and-maintainability.md,4,function extracted; literature prose not copied
modules/clean-code/references/comments-formatting.md,markdown,clean-code,software-engineering,clean-code,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,REAUTHORED,references/hubs/code-quality-refactoring-and-maintainability.md,4,function extracted; literature prose not copied
modules/clean-code/references/error-handling.md,markdown,clean-code,software-engineering,clean-code,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,REAUTHORED,references/hubs/code-quality-refactoring-and-maintainability.md,4,function extracted; literature prose not copied
modules/clean-code/references/functions-and-methods.md,markdown,clean-code,software-engineering,clean-code,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,REAUTHORED,references/hubs/code-quality-refactoring-and-maintainability.md,4,function extracted; literature prose not copied
modules/clean-code/references/naming-conventions.md,markdown,clean-code,software-engineering,clean-code,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,REAUTHORED,references/hubs/code-quality-refactoring-and-maintainability.md,4,function extracted; literature prose not copied
modules/clean-code/references/testing-principles.md,markdown,clean-code,software-engineering,clean-code,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,REAUTHORED,references/hubs/code-quality-refactoring-and-maintainability.md,4,function extracted; literature prose not copied
modules/clone-website/MODULE.md,markdown,clone-website,software-engineering,clone-website,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,REAUTHORED,references/hubs/application-implementation-and-repository-delivery.md,4,function extracted; literature prose not copied
modules/code-to-prd/assets/sample-analysis.json,schema_or_config,code-to-prd,software-engineering,code-to-prd,see module,see baseline,see baseline scripts/modules,,,,,2,REAUTHORED,references/hubs/technical-requirements-and-codebase-analysis.md,4,function extracted; literature prose not copied
modules/code-to-prd/expected_outputs/sample-enum-dictionary.md,markdown,code-to-prd,software-engineering,code-to-prd,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,REAUTHORED,references/hubs/technical-requirements-and-codebase-analysis.md,4,function extracted; literature prose not copied
modules/code-to-prd/expected_outputs/sample-page-user-list.md,markdown,code-to-prd,software-engineering,code-to-prd,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,REAUTHORED,references/hubs/technical-requirements-and-codebase-analysis.md,4,function extracted; literature prose not copied
modules/code-to-prd/expected_outputs/sample-prd-readme.md,markdown,code-to-prd,software-engineering,code-to-prd,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,REAUTHORED,references/hubs/technical-requirements-and-codebase-analysis.md,4,function extracted; literature prose not copied
modules/code-to-prd/MODULE.md,markdown,code-to-prd,software-engineering,code-to-prd,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,REAUTHORED,references/hubs/technical-requirements-and-codebase-analysis.md,4,function extracted; literature prose not copied
modules/code-to-prd/references/framework-patterns.md,markdown,code-to-prd,software-engineering,code-to-prd,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,REAUTHORED,references/hubs/technical-requirements-and-codebase-analysis.md,4,function extracted; literature prose not copied
modules/code-to-prd/references/prd-quality-checklist.md,markdown,code-to-prd,software-engineering,code-to-prd,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,REAUTHORED,references/hubs/technical-requirements-and-codebase-analysis.md,4,function extracted; literature prose not copied
modules/code-to-prd/scripts/.gitignore,other,code-to-prd,software-engineering,code-to-prd,see module,see baseline,see baseline scripts/modules,,,,,2,REAUTHORED,references/hubs/technical-requirements-and-codebase-analysis.md,4,function extracted; literature prose not copied
modules/code-to-prd/scripts/codebase_analyzer.py,script,code-to-prd,software-engineering,code-to-prd,see module,see baseline,see baseline scripts/modules,see python inventory,,legacy authorship/license/opaque scores,,4,REBUILT_AS_TOOL,scripts/,4,rebuilt deterministic tool
modules/code-to-prd/scripts/prd_scaffolder.py,script,code-to-prd,software-engineering,code-to-prd,see module,see baseline,see baseline scripts/modules,see python inventory,,legacy authorship/license/opaque scores,,4,REBUILT_AS_TOOL,scripts/,4,rebuilt deterministic tool
modules/company-os/MODULE.md,markdown,company-os,software-engineering,company-os,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,RETIRED_WITH_REASON,,0,owned by Product Strategy & Delivery skill; not duplicated here
modules/company-os/references/implementation-guide.md,markdown,company-os,software-engineering,company-os,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,RETIRED_WITH_REASON,,0,owned by Product Strategy & Delivery skill; not duplicated here
modules/company-os/references/os-comparison.md,markdown,company-os,software-engineering,company-os,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,RETIRED_WITH_REASON,,0,owned by Product Strategy & Delivery skill; not duplicated here
modules/competitive-intel/MODULE.md,markdown,competitive-intel,software-engineering,competitive-intel,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,RETIRED_WITH_REASON,,0,owned by Product Strategy & Delivery skill; not duplicated here
modules/competitive-intel/references/ci-playbook.md,markdown,competitive-intel,software-engineering,competitive-intel,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,RETIRED_WITH_REASON,,0,owned by Product Strategy & Delivery skill; not duplicated here
modules/competitive-intel/templates/battlecard-template.md,markdown,competitive-intel,software-engineering,competitive-intel,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,RETIRED_WITH_REASON,,0,owned by Product Strategy & Delivery skill; not duplicated here
modules/context-engine/MODULE.md,markdown,context-engine,software-engineering,context-engine,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,RETIRED_WITH_REASON,,0,owned by Product Strategy & Delivery skill; not duplicated here
modules/context-engine/references/anonymization-protocol.md,markdown,context-engine,software-engineering,context-engine,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,RETIRED_WITH_REASON,,0,owned by Product Strategy & Delivery skill; not duplicated here
modules/customer-journey-map/agents/openai.yaml,schema_or_config,customer-journey-map,software-engineering,customer-journey-map,see module,see baseline,see baseline scripts/modules,,,,,2,RETIRED_WITH_REASON,,0,owned by Product Strategy & Delivery skill; not duplicated here
modules/customer-journey-map/examples/meta-product-manager-skills.md,markdown,customer-journey-map,software-engineering,customer-journey-map,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,RETIRED_WITH_REASON,,0,owned by Product Strategy & Delivery skill; not duplicated here
modules/customer-journey-map/examples/sample.md,markdown,customer-journey-map,software-engineering,customer-journey-map,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,RETIRED_WITH_REASON,,0,owned by Product Strategy & Delivery skill; not duplicated here
modules/customer-journey-map/MODULE.md,markdown,customer-journey-map,software-engineering,customer-journey-map,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,RETIRED_WITH_REASON,,0,owned by Product Strategy & Delivery skill; not duplicated here
modules/customer-journey-map/template.md,markdown,customer-journey-map,software-engineering,customer-journey-map,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,RETIRED_WITH_REASON,,0,owned by Product Strategy & Delivery skill; not duplicated here
modules/customer-journey-mapping-workshop/agents/openai.yaml,schema_or_config,customer-journey-mapping-workshop,software-engineering,customer-journey-mapping-workshop,see module,see baseline,see baseline scripts/modules,,,,,2,RETIRED_WITH_REASON,,0,owned by Product Strategy & Delivery skill; not duplicated here
modules/customer-journey-mapping-workshop/MODULE.md,markdown,customer-journey-mapping-workshop,software-engineering,customer-journey-mapping-workshop,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,RETIRED_WITH_REASON,,0,owned by Product Strategy & Delivery skill; not duplicated here
modules/design-sprint/agents/openai.yaml,schema_or_config,design-sprint,software-engineering,design-sprint,see module,see baseline,see baseline scripts/modules,,,,,2,RETIRED_WITH_REASON,,0,owned by Product Strategy & Delivery skill; not duplicated here
modules/design-sprint/MODULE.md,markdown,design-sprint,software-engineering,design-sprint,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,RETIRED_WITH_REASON,,0,owned by Product Strategy & Delivery skill; not duplicated here
modules/design-sprint/references/case-studies.md,markdown,design-sprint,software-engineering,design-sprint,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,RETIRED_WITH_REASON,,0,owned by Product Strategy & Delivery skill; not duplicated here
modules/design-sprint/references/facilitation.md,markdown,design-sprint,software-engineering,design-sprint,see module,see baseline,see baseline scripts/modules,,,legacy authorship/license/opaque scores,,3,RETIRED_WITH_REASON,,0,owned by Product Strategy & Delivery skill; not duplicated here
